"ID_GUID";"Nome_Modelo";"Fabricante";"Potencia_Nominal_W";"Tensao_Bateria_V";"Capacidade_Bateria_Ah";"Tensao_AC_V";"Descricao_Detalhada"
"77ef3206-cc33-4db8-9315-9093e8455c43";"Sungrow PowerStack SC110CX";"N/A";;;;;"Batterie-WR im Sungrow PowerStack ST225kWh-110kW-2h    --- Battery Inverter in Sungrow PowerStack ST225kWh-110kW-2h"
"c458452e-aef5-4171-b59e-3a27de0f59e9";"Sungrow PowerStack SC125CX";"N/A";;;;;"Batterie-WR im Sungrow PowerStack ST255kWh-125kW-2h oder ST510kWh-125kW-4h    --- Battery Inverter in Sungrow PowerStack ST255kWh-125kW-2h or ST510kWh-125kW-4h"
"571dbf10-3fdf-4a6e-9e97-fbf147d5a01c";"Sunny Island 2012";"N/A";;;;;""
"eb9e501e-c3ac-46f0-9f91-42bee955da3a";"Sunny Island 2224";"N/A";;;;;""
"06b8c39f-04cf-45b6-a9f7-55fee06935fd";"Sunny Island 3.0 M";"N/A";;;;;""
"269ae48a-ede6-4b02-9552-20c438108037";"Sunny Island 3324";"N/A";;;;;""
"afbc3cc6-93e4-494c-814d-fdc181dce208";"Sunny Island 4.4 M";"N/A";;;;;""
"9ef320fb-61ed-449a-abd2-dd00ed58d898";"Sunny Island 4248";"N/A";;;;;""
"637f70a8-f53b-4147-929d-e5e4e107efc2";"Sunny Island 4248U";"N/A";;;;;""
"174001b9-17f8-44b1-89c4-bd8ff1266c05";"Sunny Island 4548-US";"N/A";;;;;""
"9d97d198-3446-4ff9-b00a-4292894111a8";"Sunny Island 5048";"N/A";;;;;""
"07c6607a-2c15-48fd-b92b-9026edefaaf5";"Sunny Island 5048U";"N/A";;;;;""
"a259569d-0cd2-40cb-b93f-4c752c13f00e";"Sunny Island 6.0H";"N/A";;;;;""
"e562b443-557e-4205-b8d5-399040c23376";"Sunny Island 6048-US";"N/A";;;;;""
"ebe39aeb-e3a0-4c4c-9345-9741101278ac";"Sunny Island 8.0H";"N/A";;;;;""
"246e7cbc-14f2-492e-ad0b-4f2ef4cf60af";"Sunny island X 30";"N/A";;;;;"Next generation SMA battery inverter — more powerful than ever "
"5633ef37-c0ff-4f41-9da6-f9cd288fbfc5";"Sunny island X 50";"N/A";;;;;"Next generation SMA battery inverter — more powerful than ever "
"c62dc0c5-d345-4553-bf9c-d766e9fe41f6";"SUNSYNK-10K-SG02LP1";"N/A";;;;;"SUNSYNK-10K-SG02LP1 Sunsynk 10KW Single Phase Hybrid Inverter"
"c843c720-38d5-4bf9-aa33-d94a8fb21556";"SUNSYNK-12K-SG02LP1";"N/A";;;;;"SUNSYNK-12K-SG02LP1 Sunsynk 12KW Single phase Hybrid Inverter"
"6e97120c-052b-4ee1-9201-ce6e130795e5";"SUNSYNK-3.6K-SG01/03LP1";"N/A";;;;;"Hybrid inverter that uses Solar power; Mains Utility and generators to effectively store and release power.  "
