Brand,Model,Power,Voc,Isc,Vmp,Imp
N/A,SPV-230 poly (SF220-30-1P230L),230,"36,8","8,34",30,"7,67"
N/A,SPV-270-P60-S,200,"36,1","7,7","28,3","7,07"
N/A,SPV-300-M60-S,300,"39,88","10,48","32,51","9,23"
N/A,SPV 158 SPM-1,158,"30,1","7,33","23,6","6,68"
N/A,SPV 160 SMS-1,160,"43,5",5,"35,6","4,5"
N/A,SPV 160 SMT-1,160,"43,5","5,2",34,"4,7"
N/A,SPV 160 SMT-1,160,"43,5","5,2",34,"4,7"
N/A,SPV 165 SMC-1,165,"43,2","5,23","34,4","4,8"
N/A,SPV 165 SMC-2,165,"43,2","5,23","34,4","4,8"
N/A,SPV 165 SME-1,165,"43,8","5,1","34,8","4,74"
N/A,SPV 165 SMG-1,165,"43,2","5,08","36,5","4,52"
N/A,SPV 165 SMG-2,165,"43,2","5,08","36,5","4,52"
N/A,SPV 165 SMG-2,165,"43,2","5,08","36,5","4,52"
N/A,SPV 165 SMS-1,165,44,"5,1","35,8","4,61"
N/A,SPV 165 SMT-1,165,"43,9","5,22","34,2","4,83"
N/A,SPV 165 SMT-2,165,"43,9","5,22","34,2","4,83"
N/A,SPV 170 SMC-1,170,"43,4","5,38","34,6","4,91"
N/A,SPV 170 SMC-2,170,"43,4","5,38","34,6","4,91"
N/A,SPV 170 SME-1,170,44,"5,15",35,"4,86"
N/A,SPV 170 SMG-1,170,"43,5","5,2","36,4","4,67"
N/A,SPV 170 SMG-2,170,"43,5","5,2","36,4","4,67"
N/A,SPV 170 SMS-1,170,"44,5","5,12","35,9","4,74"
N/A,SPV 170 SMT-1,170,"44,2","5,24","34,2","4,95"
N/A,SPV 170 SMT-2,170,"44,2","5,24","34,4","4,95"
N/A,SPV 175 SMC-1,175,"43,6","5,55","34,8","5,03"
N/A,SPV 175 SMC-2,175,"43,6","5,55","34,8","5,03"
N/A,SPV 175 SME-1,175,"44,2","5,25","35,2","4,97"
N/A,SPV 175 SMG-1,175,"43,6","5,35","36,45","4,8"
N/A,SPV 175 SMG-2,175,"43,6","5,35","36,45","4,8"
N/A,SPV 175 SMS-1,175,"44,8","5,17",36,"4,86"
N/A,SPV 175 SMT-1,175,"44,6","5,26","34,5","5,07"
N/A,SPV 175 SMT-1,175,"44,6","5,26","34,5","5,07"
N/A,SPV 175 SMT-2,175,"44,6","5,26","34,5","5,07"
N/A,SPV 180 SMC-1,180,"43,6","5,6",35,"5,14"
N/A,SPV 180 SMC-2,180,"43,6","5,6",35,"5,14"
N/A,SPV 180 SME-1,180,"44,4","5,35","35,4","5,08"
N/A,SPV 190 SPA-1,190,"32,85","7,87","25,18","7,56"
N/A,SPV 190 SPA-2,190,"32,85","7,87","25,18","7,56"
N/A,SPV 190 SPA-3,190,"32,85","7,87","25,18","7,56"
N/A,SPV 190 SPA-4,190,"32,85","7,87","25,18","7,56"
N/A,SPV 190 SPC-1,190,36,"7,33","28,8","6,6"
N/A,SPV 190 SPS-1,190,"32,6","7,98","26,7","7,12"
N/A,SPV 195 SPA-1,195,"32,94","8,11","25,59","7,63"
N/A,SPV 195 SPA-3,195,"32,94","8,11","25,59","7,63"
N/A,SPV 195 SPA-4,195,"32,94","8,11","25,59","7,63"
N/A,SPV 195 SPC-1,195,"36,1","7,51","28,8","6,76"
N/A,SPV 195 SPS-1,195,"32,7","8,06","26,8","7,28"
N/A,SPV 200 SPA-1,200,"33,03","8,31","25,5","7,85"
N/A,SPV 200 SPA-2,200,"33,03","8,31","25,5","7,85"
N/A,SPV 200 SPA-3,200,"33,03","8,31","25,5","7,85"
N/A,SPV 200 SPA-4,200,"33,03","8,31","25,5","7,85"
N/A,SPV 200 SPC-1,200,"36,2","7,68","28,9","6,93"
N/A,SPV 200 SPH-1,200,36,"7,7","28,4","7,1"
N/A,SPV 200 SPH-2,200,36,"7,7","28,4","7,1"
N/A,SPV 200 SPS-1,200,"32,8","8,24","26,9","7,44"
N/A,SPV 205 SPA-2,205,"33,58","8,61","25,87","7,93"
N/A,SPV 205 SPA-3,205,"33,58","8,61","25,87","7,93"
N/A,SPV 205 SPA-4,205,"33,58","8,61","25,87","7,93"
N/A,SPV 205 SPC-1,205,"36,2","7,8","28,9","7,1"
N/A,SPV 205 SPH-1,205,"36,1","7,9","28,7","7,2"
N/A,SPV 205 SPH-2,205,"36,1","7,9","28,7","7,2"
N/A,SPV 205 SPS-1,205,"32,9","8,35",27,"7,6"
N/A,SPV 210 SPA-1,210,"33,69","8,65","26,35","7,97"
N/A,SPV 210 SPA-2,210,"33,69","8,65","26,35","7,97"
N/A,SPV 210 SPA-3,210,"33,69","8,65","26,35","7,97"
N/A,SPV 210 SPA-4,210,"33,69","8,65","26,35","7,97"
N/A,SPV 210 SPC-1,210,"36,4","7,91","28,9","7,26"
N/A,SPV 210 SPH-1,210,"36,3",8,29,"7,3"
N/A,SPV 210 SPH-2,210,"36,3",8,29,"7,3"
N/A,SPV 210 SPS-1,210,33,"8,48","27,1","7,75"
N/A,SPV 215 SPA-1,215,"33,77","8,71","26,78","8,03"
N/A,SPV 215 SPA-2,215,"33,77","8,71","26,78","8,03"
N/A,SPV 215 SPA-3,215,"33,77","8,71","26,78","8,03"
N/A,SPV 215 SPA-4,215,"33,77","8,71","26,78","8,03"
N/A,SPV 215 SPG-1,215,36,"8,53","28,8","7,47"
N/A,SPV 215 SPG-S,215,36,"8,53","28,8","7,47"
N/A,SPV 215 SPH-1,215,"36,4","8,1","29,4","7,4"
N/A,SPV 215 SPH-2,215,"36,4","8,1","29,4","7,4"
N/A,SPV 220 SPG-1,220,36,"8,73","28,8","7,64"
N/A,SPV 220 SPG-S,220,36,"8,73","28,8","7,64"
N/A,SPV 220 SPH-1,220,"36,4","8,2","29,4","7,5"
N/A,SPV 220 SPH-2,220,"36,4","8,2","29,4","7,5"
N/A,SPV 225 SPG-1,225,36,"8,92","28,8","7,81"
N/A,SPV 225 SPG-S,225,36,"8,92","28,8","7,81"
N/A,SPV 225 SPH-1,225,"36,4","8,3","29,4","7,7"
N/A,SPV 225 SPH-2,225,"36,4","8,3","29,4","7,7"
N/A,SPV 230 SPG-1,230,36,"9,13","28,8","7,99"
N/A,SPV 230 SPG-S,230,36,"9,13","28,8","7,99"
N/A,SPV 230 SPH-1,230,"36,4","8,4","29,4","7,9"
N/A,SPV 230 SPH-2,230,"36,4","8,4","29,4","7,9"
N/A,SPV 235 SPH-1,235,"36,4","8,5","29,4","8,1"
N/A,SPV 235 SPH-2,235,"36,4","8,5","29,4","8,1"
N/A,SPV 70-TF,70,54,"2,2","37,6","1,85"
N/A,SPV 75-TF,75,"55,5","2,2","40,5","1,85"
N/A,SPV 80-TF,80,"56,5","2,26",41,"1,95"
N/A,SPV 85-TF,85,"57,5","2,3","42,5",2
N/A,SPV235 AT (KPV 235 PE),235,"37,34","8,61","29,85","7,97"
N/A,SPV235 IN (SF220-30-1P235L),235,"36,8","8,44","30,1","7,81"
N/A,SPV240 AT (KPV 240 PE),240,"37,33","8,78","29,87","8,04"
N/A,SPV240 IN (SF220-30-1P240L),240,37,"8,54","30,2","7,95"
N/A,SPV250 IN (SF220-30-1P250L),250,"37,2","8,74","30,4","8,22"
N/A,SPV250M AT (KPV 250 ME),250,"36,28","9,29","28,95","8,67"
N/A,SQ-080,80,"21,3","5,01","17,1","4,68"
N/A,SQ-090,90,"21,3","5,63","17,1","5,26"
N/A,SR-155,155,"42,2","4,96","35,2","4,4"
N/A,SR-156P-225,225,"36,8","8,1","29,9","7,53"
N/A,SR-156P-230,230,37,"8,18",30,"7,66"
N/A,SR-156P-235,235,"37,2","8,25","30,4","7,74"
N/A,SR-156P-240,240,"37,5","8,38","30,6","7,84"
N/A,SR-156P-270,270,"43,7","8,4",35,"7,72"
N/A,SR-156P-275,275,"43,9","8,52","35,2","7,81"
N/A,SR-156P-280,280,44,"8,58","35,3","7,94"
N/A,SR-156P-285,285,"44,2","8,58","35,5","8,03"
N/A,SR-156P-290,290,"44,4","8,64","35,8","8,1"
N/A,SR-160,160,"42,8","5,15","35,5","4,51"
N/A,SR-170,170,"43,6","5,25","35,8","4,76"
N/A,SR-175,175,"43,9","5,3","36,2","4,85"
N/A,SR-180,180,"44,2","5,35","36,8","4,9"
N/A,SR-185,185,"44,4","5,54",37,5
N/A,SR-190,190,"44,8","5,84","37,4","5,09"
N/A,SR-195,195,"45,1","5,99","37,6","5,24"
N/A,SR-200,200,"45,3","6,15","37,8","5,31"
N/A,SR-205,205,"45,8","6,27",38,"5,49"
N/A,SR-220,220,"36,21","8,28","29,94","7,35"
N/A,SR-225,225,"37,08","8,32","30,12","7,47"
N/A,SR-230,230,"37,26","8,33","30,12","7,58"
N/A,SR-235,235,"37,32","8,35","30,48","7,71"
N/A,SR-240,240,"37,44","8,37","30,78","7,8"
N/A,SR-245,245,"37,51","8,49","30,84","7,95"
N/A,SR-250,250,"37,62","8,53","31,38","7,96"
N/A,SR-270,270,"44,5","8,32","36,14","7,47"
N/A,SR-275,275,"44,59","8,34","36,29","7,58"
N/A,SR-280,280,"44,75","8,36","36,5","7,67"
N/A,SR-285,285,"44,86","8,37","36,64","7,78"
N/A,SR-290,290,"44,92","8,43","36,93","7,86"
N/A,SR-295,295,"45,03","8,46","37,29","7,91"
N/A,SR-300,300,"45,14","8,52","37,69","7,96"
N/A,SR-40MAX390/395/400/405H,395,"29,43","17,04","27,74","14,02"
N/A,SR-50MAX490/495/500/505H,490,"33,77","33,77","31,83","15,11"
N/A,SR-54M400HLPro-Full black,400,"37,01","13,79","30,55","13,1"
N/A,SR-54M410/415HLPro,415,"37,7","14,04","31,12","13,34"
N/A,SR-54M410HLPro,410,"37,47","13,96","30,93","13,26"
N/A,SR-54M420/425/430/435/440NHLProD,430,"38,56","14,26","31,86","13,5"
N/A,SR-54M420HLPro,420,"37,93","14,13","31,31","13,42"
N/A,SR-54M420NHLPro,420,"38,15","14,08","31,52","13,33"
N/A,SR-54M420NHLPro-Full black,420,"38,15","14,08","31,52","13,33"
N/A,SR-54M430NHLPro,430,"38,61","14,24","31,9","13,48"
N/A,SR-60M440/445/450HLPro,435,"41,5","13,67","39,17","11,04"
N/A,SR-60M450HLPro,450,"41,56","13,81","34,31","13,12"
N/A,SR-60M455HLPro,455,"41,62","13,95","34,36","13,25"
N/A,SR-60M480NHLPro,480,"42,83","14,33","35,39","13,57"
N/A,SR-70,70,"21,45","4,6","17,2","4,07"
N/A,SR-72M515/520/525HLPro,510,"48,71","13,62","45,98",11
N/A,SR-72M530/535/540/545HLProB,530,"49,17","13,88","46,41","11,21"
N/A,SR-72M550HLPro,550,"49,65","14,13","40,99","13,42"
N/A,SR-72M560HLPro,560,"49,97","14,29","41,25","13,58"
N/A,SR-72M580/585/590/595/600NHLPro,595,"51,69","14,6","42,71","13,82"
N/A,SR-72M580NHLPro,580,"51,31","14,46","42,39","13,69"
N/A,SR-75,75,"21,65","4,81","17,4","4,31"
N/A,SR-80,80,"21,85","5,02","17,6","4,55"
N/A,SR-85,85,"22,05","5,21","17,8","4,78"
N/A,SR-90,90,"22,25","5,39",18,5
N/A,SR-M572160,160,"43,2","5,07","34,5","4,64"
N/A,SR-M572165,165,"43,6","5,08","35,4","4,66"
N/A,SR-M572170,170,"44,2","5,15","35,6","4,76"
N/A,SR-M572175,175,"43,3","5,43","35,2","4,98"
N/A,SR-M572180,180,"43,61","5,53","35,4","5,09"
N/A,SR-M572185,185,"44,21","5,59","35,8","5,17"
N/A,SR-M572190,190,"44,46","5,7",36,"5,28"
N/A,SR-M572195,195,"44,82","5,79","36,2","5,39"
N/A,SR-M572200-1,200,"45,1","5,9","36,4","5,5"
N/A,SR-M648180,180,"28,79","8,31","23,4","7,7"
N/A,SR-M648185,185,29,"8,48","23,55","7,86"
N/A,SR-M648190,190,"29,1","8,68","23,65","8,04"
N/A,SR-M648195,195,"29,4","8,81","23,9","8,16"
N/A,SR-M648200,200,"29,58","8,98","24,05","8,32"
N/A,SR-M654200,200,"33,32","8,11",27,"7,41"
N/A,SR-M654205,205,"33,59","8,18","27,65","7,47"
N/A,SR-M654210,210,"33,64","8,21","27,65","7,59"
N/A,SR-M654215,215,"33,78","8,27","27,8","7,74"
N/A,SR-M654220,220,"33,9","8,33","27,93","7,88"
N/A,SR-M654225,225,"34,1","8,4","28,16","8,01"
N/A,SR-M660215,215,"36,94","8,05","29,7","7,24"
N/A,SR-M660220,220,"36,96","8,09","29,82","7,38"
N/A,SR-M660225,225,"37,02","8,11",30,"7,5"
N/A,SR-M660225,230,"37,32","8,18","30,48","7,55"
N/A,SR-M660235,235,"37,5","8,26","30,96","7,59"
N/A,SR-M660240,240,"37,56","8,29","31,2","7,69"
N/A,SR-M660245,245,"37,78","8,34","31,35","7,82"
N/A,SR-M660250,250,38,"8,4","31,49","7,94"
N/A,SR-M660250 cancelled,250,"36,9",9,30,"8,34"
N/A,SR-M660300,300,"39,13","10,02","31,64","9,49"
N/A,SR-M660300(PERC),300,"39,13","10,02","31,64","9,49"
N/A,SR-M660315L,315,"40,64","10,06","33,21","9,49"
N/A,SR-M660330HL,330,"41,43","10,28","33,93","9,73"
N/A,SR-M660340HL,340,"41,92","10,46","34,33","9,91"
N/A,SR-M660350HLP,350,"40,52","11,04","33,29","10,52"
N/A,SR-M660370HLP,370,"41,32","11,39","34,09","10,86"
N/A,SR-M660375HLP,375,"41,56","11,46","34,29","10,94"
N/A,SR-M672260,260,"44,35","8,09","35,78","7,26"
N/A,SR-M672265,265,"44,42","8,11",36,"7,36"
N/A,SR-M672270,270,"44,64","8,14","36,39","7,44"
N/A,SR-M672275,275,"44,78","8,18","36,58","7,52"
N/A,SR-M672280,280,"44,86","8,21","36,86","7,6"
N/A,SR-M672285,285,45,"8,26","37,15","7,67"
N/A,SR-M672290,290,"45,07","8,29","37,44","7,76"
N/A,SR-M672295,295,"45,21","8,35","37,65","7,84"
N/A,SR-M672300,300,"45,29","8,4","37,88","7,92"
N/A,SR-M672390HL,390,"49,31","10,12","41,11","9,49"
N/A,SR-M672435/440/445/450/455HLP,450,"50,1","11,48","49,76","9,22"
N/A,SR-MAX590/595/600/605H,595,"41,48","18,52","39,1","14,92"
N/A,SR-P648155,155,"28,7","7,24","22,94","6,76"
N/A,SR-P648160,160,"28,7","7,35","23,42","6,83"
N/A,SR-P648165,165,"28,75","7,47","23,66","6,97"
N/A,SR-P648170,170,"28,8","7,72","23,8","7,14"
N/A,SR-P648175,175,"28,85","7,95","24,1","7,26"
N/A,SR-P648180,180,"29,14","8,1","24,29","7,41"
N/A,SR-P648185,185,"29,38","8,23","24,48","7,56"
N/A,SR-P654190,190,"32,4","7,72","26,78","7,09"
N/A,SR-P654195,195,"32,4","7,83","26,95","7,24"
N/A,SR-P654200,200,"32,62","8,04","27,22","7,35"
N/A,SR-P654205,205,"32,78","8,1","27,32","7,5"
N/A,SR-P654210,210,"33,05","8,23","27,54","7,63"
N/A,SR-P660200,200,"35,88","7,35","29,28","6,83"
N/A,SR-P660205,205,"35,94","7,47","29,58","6,93"
N/A,SR-P660210,210,"35,94","7,6","29,64","7,09"
N/A,SR-P660215,215,36,"7,83","29,94","7,18"
N/A,SR-P660220,220,"36,06","7,95","30,12","7,3"
N/A,SR-P660225,225,"36,42","8,1","30,36","7,41"
N/A,SR-P660230,230,"36,6","8,17","30,48","7,55"
N/A,SR-P660235,235,"36,72","8,23","30,6","7,68"
N/A,SR-P660245,245,"37,8","8,75","29,9","8,2"
N/A,SR-P660250,250,38,"8,79","30,3","8,27"
N/A,SR-P660255,255,"38,1","8,88","30,5","8,37"
N/A,SR-P660260,260,"38,2",9,"30,6","8,5"
N/A,SR-P672250,250,"37,33","8,96","30,11","8,3"
N/A,SR-P672255,255,"43,2","7,72","35,71","7,14"
N/A,SR-P672260,260,"43,2","7,83","35,93","7,24"
N/A,SR-P672265,265,"43,27","7,95","36,14","7,33"
N/A,SR-P672270,270,"43,7","8,1","36,43","7,41"
N/A,SR-P672275,275,"43,92","8,17","36,58","7,52"
N/A,SR-P672280,280,"44,06","8,23","36,72","7,63"
N/A,SR-P672285,285,"44,21","8,32","36,79","7,75"
N/A,SR280-60P,280,39,"9,25",32,"8,76"
N/A,SRN250-60M,250,"37,92","8,62","30,96","8,07"
N/A,SRN250-60P,250,"36,97","9,29","30,39","8,23"
N/A,SRN255-60M,255,"38,1","8,76","31,1","8,2"
N/A,SRN255-60P,255,"37,1","9,46","30,41","8,38"
N/A,SRN260-60M,260,"38,32","8,9","31,26","8,32"
N/A,SRN260-60P,260,"37,12","9,65","30,43","8,54"
N/A,SRN265-60M,265,"38,46","9,13","31,37","8,45"
N/A,SRN270-60M,270,"38,56","9,27","31,48","8,58"
N/A,SRN270-60P,270,"37,81","9,11","31,46","8,58"
N/A,SRN280-60M,280,"38,4","9,42","31,7","8,84"
N/A,SRN280-72P,280,"44,4","8,82","35,67","7,85"
N/A,SRN285-72P,285,"45,42","8,6","35,74","7,98"
N/A,SRN290-60M,290,"39,11","9,54","32,43","8,94"
N/A,SRN290-60M,290,"38,9","9,66","32,2","9,01"
N/A,SRN290-72P,290,"45,74","8,59","36,77","7,9"
N/A,SRN295-72P,295,"45,59","8,69","36,04","8,19"
N/A,SRN300-72P,300,"45,67","8,74","36,19","8,29"
N/A,SRN305-72P,305,"45,81","8,81","36,36","8,39"
N/A,SRN310-72P,310,"45,98","8,92","36,49","8,49"
N/A,SRP-125-6ME,125,"21,8","7,59","17,6","7,11"
N/A,SRP-125-6PD,125,"22,7","8,06",18,"6,94"
N/A,SRP-130-6ME,130,"21,9","7,85","17,7","7,35"
N/A,SRP-130-6PD,135,"22,7","8,38",18,"7,22"
N/A,SRP-135-6ME,135,22,"8,06","17,9","7,54"
N/A,SRP-135-6PD,135,"22,7","8,63",18,"7,5"
N/A,SRP-140-6ME,140,"22,2","8,33",18,"7,8"
N/A,SRP-140-6PD,140,"23,3","8,78","18,5","7,57"
N/A,SRP-145-6ME,145,"22,4","8,57","18,1","8,02"
N/A,SRP-145-6PD,145,"22,2","8,63","17,9","8,11"
N/A,SRP-150-6ME,150,"22,5","8,83","18,2","8,26"
N/A,SRP-150-6PD,150,"22,3","8,9","18,1","8,33"
N/A,SRP-155-6ME,155,"22,6","9,04","18,3","8,47"
N/A,SRP-155-6PD,155,"22,4","9,1","18,2","8,53"
N/A,SRP-160-6ME,160,"22,7","9,29","18,4","8,7"
N/A,SRP-160-6PD,160,"22,5","9,36","18,3","8,76"
N/A,SRP-165-6MD,165,"28,9","7,56","23,3","7,08"
N/A,SRP-165-6PE,165,29,"7,52","23,4","7,04"
N/A,SRP-170-6MD,170,29,"7,73","23,5","7,24"
N/A,SRP-170-6PE,170,"29,1","7,73","22,6","7,52"
N/A,SRP-175-6MD,175,"29,1","7,94","23,5","7,43"
N/A,SRP-175-6PE,175,"29,2","7,94","22,6","7,74"
N/A,SRP-180-6MD,180,"29,3","8,11","23,7","7,6"
N/A,SRP-180-6PE,180,"29,3","8,45","22,7","7,91"
N/A,SRP-185-5MB,185,"43,2","5,76",36,"5,14"
N/A,SRP-185-6MC,185,"33,1","7,4","26,7","6,93"
N/A,SRP-185-6MD,185,"29,5","8,3","23,8","7,78"
N/A,SRP-185-6PE,185,"29,4","8,74","22,6","8,18"
N/A,SRP-190-5MB,190,"43,4","5,91","36,1","5,28"
N/A,SRP-190-6MC,190,"33,3","7,55","26,9","7,07"
N/A,SRP-190-6MD,190,"29,6","8,5","23,9","7,96"
N/A,SRP-190-6PE,190,"29,5","8,5","23,9","7,96"
N/A,SRP-195-5MB,195,"45,2","5,71","36,5","5,35"
N/A,SRP-195-6MC,195,"33,4","7,7","27,1","7,21"
N/A,SRP-195-6MD,195,"29,8","8,67",24,"8,12"
N/A,SRP-195-6PE,195,"29,6","8,7","23,9","8,16"
N/A,SRP-200-5MB,200,"45,3","5,84","36,6","5,47"
N/A,SRP-200-6MC,200,"33,5","7,89","27,1","7,39"
N/A,SRP-200-6MD,200,30,"8,8","24,3","8,24"
N/A,SRP-200-6PC,200,34,"8,59",27,"7,41"
N/A,SRP-200-6PE,200,"29,7","8,89",24,"8,34"
N/A,SRP-205-5MB,205,"45,4","5,98","36,7","5,6"
N/A,SRP-205-6MC,205,"33,6","8,07","27,1","7,57"
N/A,SRP-205-6MD,205,"30,2","8,99","24,4","8,42"
N/A,SRP-205-6PC,205,34,"8,81",27,"7,59"
N/A,SRP-205-6PE,205,"29,8","9,14","24,1","8,54"
N/A,SRP-210-5MB,210,"45,7","5,91","37,4","5,62"
N/A,SRP-210-6MB,210,"36,6","7,59","29,5","7,12"
N/A,SRP-210-6MC,210,"33,7","8,21","27,3","7,69"
N/A,SRP-210-6MD,210,"30,4","9,09","24,7","8,51"
N/A,SRP-210-6PC,210,"34,7","8,86","27,5","7,64"
N/A,SRP-210-6PE,210,"29,9","9,24","24,3","8,65"
N/A,SRP-215-6MB,215,"36,7","7,71","29,8","7,22"
N/A,SRP-215-6MC,215,"33,8","8,41","27,3","7,88"
N/A,SRP-215-6MD,215,"30,6","9,26","24,8","8,67"
N/A,SRP-215-6PC,215,"33,2","8,57","26,8","8,03"
N/A,SRP-220-6MB,220,"36,8","7,89","29,8","7,39"
N/A,SRP-220-6MC,220,"33,9","8,59","27,4","8,04"
N/A,SRP-220-6PC,220,"33,3","8,74","26,9","8,19"
N/A,SRP-225-6MB,225,"36,9","8,08","29,8","7,56"
N/A,SRP-225-6MC,225,34,"8,76","27,4","8,22"
N/A,SRP-225-6PB,225,"35,4","8,55","29,5","7,63"
N/A,SRP-225-6PC,225,"33,4","8,92",27,"8,35"
N/A,SRP-230-6MB,230,37,"8,2",30,"7,68"
N/A,SRP-230-6MC,230,"34,2","8,8","27,7","8,31"
N/A,SRP-230-6PB,230,"35,8","8,59","29,7","7,74"
N/A,SRP-230-6PC,230,"33,5","9,03","27,2","8,46"
N/A,SRP-235-6MB,235,"37,1","8,35","30,1","7,82"
N/A,SRP-235-6MC,235,"34,3","8,78","27,8","8,46"
N/A,SRP-235-6PB,235,"36,4","8,42","29,4",8
N/A,SRP-235-6PC,235,"34,1","8,84","28,7","8,19"
N/A,SRP-240-6MB,240,"37,2","8,53","30,1","7,99"
N/A,SRP-240-6MC,240,"34,4","8,94","27,9","8,61"
N/A,SRP-240-6PB,240,"36,9","8,6","29,8","8,06"
N/A,SRP-240-6PC,240,"34,2",9,"28,9","8,31"
N/A,SRP-245-5MA,245,"60,4","5,4","48,5","5,06"
N/A,SRP-245-6MB,245,"37,3","8,7","30,1","8,14"
N/A,SRP-245-6MC,245,"34,5","9,34",28,"8,75"
N/A,SRP-245-6PB,245,37,"8,76","29,9","8,21"
N/A,SRP-250-5MA,250,"60,2","5,49","48,6","5,14"
N/A,SRP-250-6MA,250,"44,2","7,43","35,9","6,96"
N/A,SRP-250-6MB,250,"37,4","8,85","30,2","8,29"
N/A,SRP-250-6MC,250,"34,6","9,3","28,1","8,9"
N/A,SRP-250-6PB,250,"37,1","8,92",30,"8,35"
N/A,SRP-255-5MA,255,"60,3","5,59","48,7","5,24"
N/A,SRP-255-6MA,255,"44,2","7,56","36,1","7,08"
N/A,SRP-255-6MB,255,"37,5",9,"30,3","8,43"
N/A,SRP-255-6PB,255,"37,2","9,02","30,2","8,45"
N/A,SRP-260-5MA,260,"60,4","5,69","48,8","5,33"
N/A,SRP-260-6MA,260,"44,3","7,68","36,1","7,19"
N/A,SRP-260-6MB,260,"37,6","9,1","30,5","8,53"
N/A,SRP-260-6PB,260,"37,9","8,8","31,9","8,16"
N/A,SRP-265-5MA,265,"60,5","5,68","48,7","5,45"
N/A,SRP-265-6MA,265,"44,4","7,89","35,9","7,39"
N/A,SRP-265-6MB,265,"37,7","9,13","31,7","8,36"
N/A,SRP-265-6PB,265,38,"8,94",32,"8,29"
N/A,SRP-270-5MA,270,"60,6","5,78","48,9","5,53"
N/A,SRP-270-6MA,270,"44,5","7,97","36,2","7,47"
N/A,SRP-270-6MB,270,"37,8","9,26","31,9","8,47"
N/A,SRP-275-5MA,275,"60,8","5,87","49,4","5,57"
N/A,SRP-275-6MA,275,"44,6","8,15",36,"7,63"
N/A,SRP-275-6MB,275,"38,1","9,37","32,1","8,47"
N/A,SRP-275-6PA,275,44,"8,25","35,6","7,72"
N/A,SRP-280-5MA,280,"60,8","5,98","49,6","5,66"
N/A,SRP-280-6MA,280,"44,7","8,28","36,1","7,76"
N/A,SRP-285-5MA,285,"60,9","6,07","49,8","5,73"
N/A,SRP-285-6MA,285,"44,8","8,41","36,2","7,87"
N/A,SRP-285-6PA,285,"44,7","8,28",36,"7,99"
N/A,SRP-290-6MA,290,"44,9","8,55","36,2","8,01"
N/A,SRP-290-6PA,290,"44,3","8,65","35,8","8,11"
N/A,SRP-295-6MA,295,45,"8,68","36,3","8,13"
N/A,SRP-295-6PA,295,"44,4","8,78","35,9","8,22"
N/A,SRP-300-6MA,300,"44,8","8,8","36,4","8,25"
N/A,SRP-300-6PA,300,"44,5","8,92","35,9","8,36"
N/A,SRP-305-6MA,305,"44,9","8,93","36,5","8,36"
N/A,SRP-305-6PA,305,"44,6","9,06",36,"8,48"
N/A,SRP-310-6MA,310,"45,1",9,"37,1","8,43"
N/A,SRP-310-6MA,310,45,9,"36,8","8,43"
N/A,SRP-310-6PA,310,"44,7","9,13","36,3","8,54"
N/A,SRP-315-6MA,315,"45,2","9,08","36,9","8,55"
N/A,SRP-315-6PA,315,"45,6","8,86","38,4","8,21"
N/A,SRP-320-6MA,320,"45,2","9,08",38,"8,43"
N/A,SRP-320-6PA,320,"45,7","8,99","38,5","8,32"
N/A,SRP-325-6MA,325,"45,3","9,2","38,1","8,54"
N/A,SRP-330-BMB,330,"40,8","10,11","34,4","9,6"
N/A,SRP-330-BMB-HV,330,"40,8","10,11","34,4","9,6"
N/A,SRP 10/20 270 SW (Indach),270,"43,5","8,11","35,6","7,59"
N/A,SRP 10/20 272 SW (Indach),272,"43,5","8,24","35,2","7,73"
N/A,SRP 10/20 275 QC (Indach),275,"43,13","8,44","34,88","7,89"
N/A,SRP 10/20 275 SW (Indach),275,"43,6","8,15","35,7","7,71"
N/A,SRP 10/20 280 QC (Indach),280,"43,36","8,51","35,17","7,98"
N/A,SRP 10/20 280 SW (Indach),280,"43,7","8,19","35,8","7,82"
N/A,SRP 10/20 285 QC (Indach),285,"43,59","8,59","35,47","8,07"
N/A,SRP 10/20 285 SW (Indach),285,"43,8","8,25","35,9","7,94"
N/A,SRP 19/11 270 SW (Indach),270,"43,5","8,11","35,6","7,59"
N/A,SRP 19/11 275 SW (Indach),275,"43,6","8,15","35,7","7,71"
N/A,SRP 19/11 280 SW (Indach),280,"43,7","8,19","35,8","7,82"
N/A,SRS170-24-M,170,"43,3",5,"36,1","4,71"
N/A,SRT 35S,35,"10,7","4,5","8,5","4,15"
N/A,SRT 80S,80,"22,1","4,8","17,6","4,55"
N/A,SS-405-54MDH (Full Black),405,"37,33","13,44","31,55","12,84"
N/A,SS-410-54MD(Full Black),410,"37,68","13,59","31,84","12,88"
N/A,SS-410-54MDH,410,"37,68","13,59","31,84","12,88"
N/A,SS-410-54MDH (Full Black),410,"37,68","13,59","31,84","12,88"
N/A,SS-420-54MDH(T),420,"37,58","13,93","31,91","13,16"
N/A,SS-425-54MDH(T),425,"38,64","13,48","33,07","12,85"
N/A,SS-430-54MDH-G9(T) Full back HD,430,"39,18","13,64","33,34","12,9"
N/A,SS-430-54MDH(T),430,"38,77","13,57","33,2","12,95"
N/A,SS-435-48MDH-G11(T),435,"34,49","15,9","29,54","14,73"
N/A,SS-435-54MDH(T),435,"38,9","13,65","33,34","13,05"
N/A,SS-440-48MDH-G11(T),440,"34,67","15,95","29,72","14,81"
