Brand,Model,Power,Voc,Isc,Vmp,Imp
N/A,6x5M FJB - 145Wp,145,"19,99","9,07","16,57","8,75"
N/A,6x6M - 170Wp,170,"23,98","9,07","19,43","8,75"
N/A,6x6M - 180Wp M3,180,"24,76","9,07","20,5","8,75"
N/A,6x6M FJB - 170Wp,170,"23,98","9,07","19,43","8,75"
N/A,7T2 280,280,"44,16","8,35","35,9","7,8"
N/A,7T2 285,285,"44,4","8,45","36,1","7,9"
N/A,7T2 290,290,"44,65","8,56","36,25",8
N/A,7T2 295,295,"44,77","8,67","36,4","8,1"
N/A,7T2 300,300,"44,96","8,77","36,55","8,2"
N/A,7T2 305,305,"45,08","8,87","36,7","8,3"
N/A,7x1M - 30Wp,30,"4,66","9,07","3,43","8,75"
N/A,7x1M - 35Wp M3,35,"4,81","9,07","3,98","8,75"
N/A,7x1M FJB - 30Wp,30,"4,66","9,07","3,43","8,75"
N/A,7x2M - 65Wp,65,"9,33","9,07","7,43","8,75"
N/A,7x2M - 70Wp M3,70,"9,62","9,07","7,97","8,75"
N/A,7x2M FJB - 65Wp,65,"9,33","9,07","7,43","8,75"
N/A,7x3M - 100Wp,100,"13,99","9,07","11,44","8,75"
N/A,7x3M - 105Wp M3,105,"14,44","9,07","11,96","8,75"
N/A,7x3M FJB - 100Wp,100,"13,99","9,07","11,44","8,75"
N/A,7x4M - 130Wp,130,"18,65","9,07","14,86","8,75"
N/A,7x4M - 140Wp M3,140,"19,25","9,07","15,95","8,75"
N/A,7x4M FJB - 130Wp,130,"18,65","9,07","14,86","8,75"
N/A,7x5M - 165Wp,165,"23,32","9,07","18,86","8,75"
N/A,7x5M - 175Wp M3,175,"24,07","9,07","19,93","8,75"
N/A,7x5M FJB - 165Wp,165,"23,32","9,07","18,86","8,75"
N/A,7x6M - 200Wp,200,"27,98","9,07","22,86","8,75"
N/A,7x6M - 210Wp M3,210,"28,88","9,07","23,92","8,75"
N/A,7x6M FJB - 200Wp,200,"27,98","9,07","22,86","8,75"
N/A,8.185MS,185,45,"5,54","36,4","5,08"
N/A,8.185MSG,185,45,"5,54","36,4","5,08"
N/A,8.190MS,190,"45,36","5,58","36,65","5,18"
N/A,8.190MSG,190,"45,36","5,58","36,65","5,18"
N/A,8.195MS,195,"45,5","5,63","36,9","5,28"
N/A,8.195MSG,195,"45,5","5,63","36,9","5,28"
N/A,8.200MS,200,"45,65","5,65","37,3","5,36"
N/A,8.200MSG,200,"45,65","5,65","37,3","5,36"
N/A,8.205MS,205,"45,75","5,7","37,55","5,46"
N/A,8.205MSG,205,"45,75","5,7","37,55","5,46"
N/A,8.220P,220,"36,87","8,13","28,95","7,6"
N/A,8.225P,225,"37,04","8,22","29,15","7,72"
N/A,8.230P,230,"37,21","8,31","29,35","7,84"
N/A,8.235P,235,"37,38","8,39","29,55","7,95"
N/A,8.240P,240,"37,55","8,47","29,75","8,07"
N/A,8.245P,245,"37,72","8,53","29,95","8,18"
N/A,8.250MEB,257,"37,9","8,78","30,8","8,46"
N/A,8.250MS,250,"59,6","5,49","48,7","5,14"
N/A,8.250MSG,250,"59,6","5,49","48,7","5,14"
N/A,8.255MS,255,"59,8","5,55",49,"5,21"
N/A,8.255MSG,255,"59,8","5,55",49,"5,21"
N/A,8.260MS,260,60,"5,64","49,3","5,27"
N/A,8.260MSG,260,60,"5,64","49,3","5,27"
N/A,8.265MS,265,"60,1","5,73","49,4","5,36"
N/A,8.265MSG,265,"60,1","5,73","49,4","5,36"
N/A,8.270MS,270,"60,4","5,83","49,5","5,45"
N/A,8.270MSG,270,"60,4","5,83","49,5","5,45"
N/A,8.270P,270,"45,3","8,06","36,2","7,46"
N/A,8.275MS,275,"60,6","5,94","49,5","5,56"
N/A,8.275MSG,275,"60,6","5,94","49,5","5,56"
N/A,8.275P,275,"45,6","8,13","36,5","7,53"
N/A,8.280P,280,"45,9","8,24","36,7","7,63"
N/A,8.285MEB,295,"45,5","8,81","36,5","8,22"
N/A,8.285P,285,"46,1","8,34","36,9","7,72"
N/A,8.290P,290,"46,3","8,47",37,"7,84"
N/A,8.295P,295,"46,5","8,56","37,2","7,93"
N/A,80 Wp - CIS,80,"56,5","2,26",41,"1,95"
N/A,88M-220W,220,"54,7","5,44","43,6","5,05"
N/A,88M-230W,230,"54,9","5,54","44,5","5,17"
N/A,8x1M - 35Wp,35,"5,33","9,07",4,"8,75"
N/A,8x1M - 40Wp M3,40,"5,5","9,07","4,55","8,75"
N/A,8x1M FJB - 35Wp,35,"5,33","9,07",4,"8,75"
N/A,8x2M - 75Wp,75,"10,66","9,07","8,57","8,75"
N/A,8x2M - 80Wp M3,80,11,"9,07","9,11","8,75"
N/A,8x2M FJB - 75Wp,75,"10,66","9,07","8,57","8,75"
N/A,8x3M - 110Wp,110,"15,99","9,07","12,57","8,75"
N/A,8x3M - 120Wp M3,120,"16,5","9,07","13,67","8,75"
N/A,8x3M FJB - 110Wp,110,"15,99","9,07","12,57","8,75"
N/A,8x4M - 150Wp,150,"21,32","9,07","17,14","8,75"
N/A,8x4M - 160Wp M3,160,"22,01","9,07","18,23","8,75"
N/A,8x4M FJB - 150Wp,150,"21,32","9,07","17,14","8,75"
N/A,8x5M - 190Wp,190,"26,65","9,07","21,71","8,75"
N/A,8x5M - 200Wp M3,200,"27,51","9,07","22,78","8,75"
N/A,8x5M FJB - 190Wp,190,"26,65","9,07","21,71","8,75"
N/A,8x6M - 230Wp,230,"31,98","9,07","26,29","8,75"
N/A,8x6M - 240Wp M3,240,"33,01","9,07","27,34","8,75"
N/A,8x6M FJB - 230Wp,230,"31,98","9,07","26,29","8,75"
N/A,90 Wp - CdTe,90,60,"2,15","47,6","1,89"
N/A,9T6 390,390,"59,3","8,62","47,91","8,14"
N/A,9T6 395,395,"59,5","8,67","48,17","8,2"
N/A,9T6 400,400,"59,8","8,82","48,43","8,26"
N/A,9T6 405,405,60,"8,86","48,68","8,32"
N/A,9T6 410,410,"60,25","8,9","48,98","8,37"
N/A,9T6 415,415,"60,4","8,95","49,23","8,43"
N/A,9T6 420,420,"60,55",9,"49,53","8,48"
N/A,9x1M - 40Wp,40,6,"9,07","4,57","8,75"
N/A,9x1M - 45Wp M3,45,"6,19","9,07","5,12","8,75"
N/A,9x1M FJB - 40Wp,40,6,"9,07","4,57","8,75"
N/A,9x2M - 85Wp,85,"11,99","9,07","9,71","8,75"
N/A,9x2M - 90Wp M3,90,"12,38","9,07","10,25","8,75"
N/A,9x2M FJB - 85Wp,85,"11,99","9,07","9,71","8,75"
N/A,9x3M - 125Wp,125,"17,99","9,07","14,29","8,75"
N/A,9x3M - 135Wp M3,135,"18,57","9,07","15,38","8,75"
N/A,9x3M FJB - 125Wp,125,"17,99","9,07","14,29","8,75"
N/A,9x4M - 170Wp,170,"23,98","9,07","19,43","8,75"
N/A,9x4M - 180Wp M3,180,"24,76","9,07","20,5","8,75"
N/A,9x4M FJB - 170Wp,170,"23,98","9,07","19,43","8,75"
N/A,9x5M - 210Wp,210,"29,98","9,07",24,"8,75"
N/A,9x5M - 225Wp M3,225,"30,95","9,07","25,63","8,75"
N/A,9x5M FJB - 210Wp,210,"29,98","9,07",24,"8,75"
N/A,9x6M - 255Wp,255,"35,97","9,07","29,14","8,75"
N/A,9x6M - 270Wp M3,270,"37,14","9,07","30,76","8,75"
N/A,9x6M FJB - 255Wp,255,"35,97","9,07","29,14","8,75"
N/A,A-10,10,21,"0,62",17,"0,59"
N/A,A-140P,140,"22,3","8,42","17,54","7,98"
N/A,A-150P,150,"22,6","8,69","17,84","8,41"
N/A,A-170P,170,"27,98","8,05","23,3","7,3"
N/A,A-175P,175,"28,32","8,21","23,6","7,42"
N/A,A-180M,180,"43,46","5,5","36,59","4,92"
N/A,A-180P,180,"28,56","8,32","23,8","7,56"
N/A,A-185P,185,"28,8","8,49",24,"7,71"
N/A,A-190M,190,"43,96","5,64","36,83","5,16"
N/A,A-190P,190,"29,04","8,65","24,2","7,85"
N/A,A-195P,195,"29,28","8,8","24,4","7,98"
N/A,A-20,20,21,"1,31",17,"1,18"
N/A,A-230P GSE,230,"36,58","8,36","29,49","7,81"
N/A,A-230P_ULTRA,230,"36,72","8,55","28,87","7,99"
N/A,A-235P GSE,235,"36,76","8,45","29,72","7,91"
N/A,A-235P_ULTRA,235,"36,94","8,64","29,04","8,1"
N/A,A-240P GSE,240,"37,03","8,54","29,95","8,02"
N/A,A-240P_ULTRA,255,"37,16","8,73","29,21","8,72"
N/A,A-245P GSE,245,"37,28","8,64","30,23","8,11"
N/A,A-245P_ULTRA,245,"37,38","8,82","29,37","8,33"
N/A,A-250P GSE,250,"37,61","8,71","30,58","8,18"
N/A,A-250P_ULTRA,250,"37,6","8,91","29,53","8,45"
N/A,A-255P GSE,255,"37,85","8,82","30,9","8,26"
N/A,A-260P GSE,260,"38,12","8,91","31,23","8,34"
N/A,A-280P_ULTRA,280,"44,37","8,45","35,33","7,95"
N/A,A-285P_ULTRA,285,"44,52","8,56","35,63",8
N/A,A-290P_ULTRA,290,"44,67","8,67","35,93","8,07"
